file,time_diff,total_word,c_w_p_m
student_959_passage_41163_56e9bef67d1e4,0.18666666666666668,25,133.92857142857142
student_549_passage_32052_56e1ca7ded422,0.2435,25,102.6694045174538
student_629_passage_31078_56ddb64af001b,0.6893333333333334,19,27.562862669245646
student_229_passage_21150_56e6e71bd6c5e,0.07200000000000001,5,69.44444444444444
student_405_passage_21072_55428d8298d7a,0.1795,20,111.42061281337048
student_223_passage_21146_56df419b166e9,0.18233333333333332,20,109.6892138939671
student_187_passage_41042_553e64d6241c9,0.1135,19,167.40088105726872
student_455_passage_32057_56e1e7ec488f2,0.24533333333333335,47,191.57608695652172
student_37_passage_23054_56df1766c2c01,1.5743333333333331,47,29.853906415413935
student_834_passage_31034_5548f1d9328e9,0.128,25,195.3125
student_77_passage_43008_55490dd597ca2,1.0333333333333334,73,70.64516129032258
student_1018_passage_31034_553feba45134f,0.16449999999999998,21,127.65957446808513
student_709_passage_43058_56e9bdc6ce493,0.6903333333333332,86,124.57749879285372
student_635_passage_24000_55426651c5ef5,1.03,57,55.33980582524272
student_559_passage_21016_55429e478219a,0.458,19,41.48471615720524
student_680_passage_31069_553fc236136cb,0.19783333333333336,28,141.53327716933444
student_141_passage_21125_56df4515d8be9,0.1575,19,120.63492063492063
student_886_passage_33012_55523ea738ff6,0.4885,46,94.16581371545547
student_57_passage_41101_554931168fb80,0.11183333333333333,20,178.83755588673623
student_611_passage_34000_56e1a998703dc,1.0653333333333332,134,125.78222778473092
student_683_passage_31152_56e1e645a9454,0.17716666666666667,25,141.11006585136406
student_211_passage_42055_5547bedb4cf8a,0.20700000000000002,47,227.05314009661834
student_327_passage_41151_553e7ec336b7a,0.09483333333333334,13,137.08260105448153
student_680_passage_31023_553fc25d45d0f,0.1305,20,153.2567049808429
student_501_passage_32070_56e1de767323a,0.4633333333333333,48,103.59712230215828
student_63_passage_21109_56e6e2002e143,0.2175,19,87.35632183908046
student_876_passage_32037_55523c3683f35,0.292,34,116.43835616438356
student_113_passage_41083_553e6759d7c08,0.14550000000000002,5,34.36426116838488
student_257_passage_22071_56e6e34f7705e,1.269,27,21.276595744680854
student_767_passage_41171_56e9955be7757,0.11900000000000001,19,159.6638655462185
student_363_passage_41094_553e7ae6ae1ea,0.1575,17,107.93650793650794
student_105_passage_44000_553e696de57f2,1.0956666666666668,87,79.4037115911165
student_345_passage_31154_56e1cd3de7b69,0.1135,19,167.40088105726872
student_989_passage_41172_56e9939559cd9,0.25183333333333335,25,99.27200529450694
student_603_passage_32041_56e1a75101d2d,0.37699999999999995,42,111.4058355437666
student_171_passage_42047_553e6298b4bf6,0.299,33,110.36789297658864
student_475_passage_22030_553a9d193d70d,0.3858333333333333,45,116.6306695464363
student_894_passage_34000_55523fdeb4737,1.066,132,123.82739212007505
student_215_passage_42014_5547c1508d454,0.31283333333333335,43,137.45338305807138
student_575_passage_22019_553a6ba53ff0c,0.2643333333333333,47,177.80580075662044
student_329_passage_41028_553e768b4f036,0.1365,23,168.4981684981685
student_958_passage_31039_555232164611d,0.3438333333333333,25,72.70964614638875
student_349_passage_31154_56e1e84cae714,0.271,20,73.80073800738006
student_491_passage_31093_56e1e1f398726,0.31650000000000006,25,78.98894154818323
student_807_passage_43058_56e8361a2f3da,0.7174999999999999,57,79.4425087108014
student_535_passage_21096_554297c739ab6,0.10183333333333332,7,68.73977086743045
student_125_passage_41142_553e67b99cf27,0.226,17,75.22123893805309
student_121_passage_21137_56df15c1ca87c,0.15516666666666667,19,122.44897959183673
student_461_passage_21031_553a9c2595ceb,0.32583333333333336,26,79.79539641943734
student_33_passage_23053_56df1e8e1db11,0.7491666666666668,75,100.11123470522801
student_1009_passage_42087_56e8339a72f71,0.3745,27,72.09612817089453
student_161_passage_42055_553e59362a004,0.43233333333333335,47,108.71241326137239
student_601_passage_21096_553aa098e8dd5,0.5498333333333334,23,41.83085783570778
student_647_passage_23025_55426c1ae8412,1.1001666666666667,65,59.08195727920012
student_830_passage_33020_5548f3ec70d7b,0.5863333333333334,64,109.15292779988629
student_1059_passage_34000_56ddf2a8ae72b,0.9764999999999999,98,100.3584229390681
student_665_passage_32041_56ddae1c67df9,0.32283333333333336,37,114.61022199277232
student_533_passage_31136_56e1e1fc9fbeb,0.15116666666666667,22,145.53472987872107
student_1018_passage_31062_553febdd8db2e,0.15700000000000003,22,140.12738853503183
student_834_passage_32016_5548f2c274820,0.296,46,155.40540540540542
student_447_passage_32046_56ddb62ea42dc,0.42766666666666675,51,119.2517537022603
student_1018_passage_33014_553feae8c6536,0.7355,77,104.69068660774983
student_581_passage_33040_56e1dd96c4175,0.6605000000000001,67,101.43830431491293
student_549_passage_32028_56e1cabfc5697,0.2938333333333334,41,139.5348837209302
student_845_passage_41166_56e9a4be8b2d7,0.132,27,204.54545454545453
student_343_passage_41094_553e80178767b,0.12250000000000001,14,114.28571428571428
student_117_passage_41134_553e6ebc18481,0.123,16,130.08130081300814
student_1037_passage_41170_56e8324b6f327,0.10533333333333333,16,151.89873417721518
student_169_passage_22069_56df1c31d5344,0.42,29,69.04761904761905
student_379_passage_31130_56e1d0a5443be,0.25699999999999995,12,46.69260700389106
student_341_passage_42009_553e755570759,0.4008333333333333,40,99.79209979209979
student_804_passage_31060_553fadffce538,0.18800000000000003,3,15.957446808510635
student_499_passage_21003_553a758ca5528,0.20683333333333334,13,62.8525382755842
student_932_passage_31026_555232e3d11a1,0.394,26,65.98984771573603
student_799_passage_41178_56e83e1c4b7dd,0.191,27,141.36125654450262
student_621_passage_23050_554276497cdd0,0.14083333333333325,2,14.201183431952671
student_35_passage_23054_56df1edc1accc,0.9165,88,96.01745771958538
student_313_passage_21123_56e70416c41ed,0.8298333333333333,7,8.435428800964049
student_379_passage_41020_553e7c1a62279,0.1595,24,150.47021943573668
student_131_passage_21103_56df184288cfb,0.26333333333333336,12,45.56962025316455
student_585_passage_21040_553a68180b961,0.186,27,145.16129032258064
student_690_passage_32017_553fc918164f7,0.48633333333333334,43,88.41672378341329
student_441_passage_21047_553a98978e6ae,0.36183333333333334,22,60.80147397512667
student_716_passage_31039_553fc32949d12,0.48050000000000004,20,41.62330905306972
